sredni_czas,odw_t,t,sigma,S_0,r,K,T,opcja,wersja
0.033471420049667355,260,0.0038461538461538464,0.03,50,0.02,48,2,a,put
0.03496865320205689,270,0.003703703703703704,0.03,50,0.02,48,2,a,put
0.03713443684577942,280,0.0035714285714285713,0.03,50,0.02,48,2,a,put
0.034635717391967774,290,0.0034482758620689655,0.03,50,0.02,48,2,a,put
0.03354929208755493,300,0.0033333333333333335,0.03,50,0.02,48,2,a,put
0.03535058689117432,310,0.0032258064516129032,0.03,50,0.02,48,2,a,put
0.04280995512008667,320,0.003125,0.03,50,0.02,48,2,a,put
0.04948981475830078,330,0.0030303030303030303,0.03,50,0.02,48,2,a,put
0.04891036534309387,340,0.0029411764705882353,0.03,50,0.02,48,2,a,put
0.05081659722328186,350,0.002857142857142857,0.03,50,0.02,48,2,a,put
0.05176867508888244,360,0.002777777777777778,0.03,50,0.02,48,2,a,put
0.051230304479599,370,0.002702702702702703,0.03,50,0.02,48,2,a,put
0.05445964980125427,380,0.002631578947368421,0.03,50,0.02,48,2,a,put
0.06220075535774231,390,0.002564102564102564,0.03,50,0.02,48,2,a,put
0.06027934217453003,400,0.0025,0.03,50,0.02,48,2,a,put
0.062210173845291136,410,0.0024390243902439024,0.03,50,0.02,48,2,a,put
0.06810079526901246,420,0.002380952380952381,0.03,50,0.02,48,2,a,put
0.07421154451370239,430,0.002325581395348837,0.03,50,0.02,48,2,a,put
0.07169753742218017,440,0.0022727272727272726,0.03,50,0.02,48,2,a,put
0.0722181522846222,450,0.0022222222222222222,0.03,50,0.02,48,2,a,put
0.08162643814086915,460,0.002173913043478261,0.03,50,0.02,48,2,a,put
0.08786484050750733,470,0.002127659574468085,0.03,50,0.02,48,2,a,put
0.0916419186592102,480,0.0020833333333333333,0.03,50,0.02,48,2,a,put
0.0939269814491272,490,0.0020408163265306124,0.03,50,0.02,48,2,a,put
0.09965888547897339,500,0.002,0.03,50,0.02,48,2,a,put
0.12536572456359862,550,0.0018181818181818182,0.03,50,0.02,48,2,a,put
0.1533486361503601,600,0.0016666666666666668,0.03,50,0.02,48,2,a,put
0.19353272199630736,650,0.0015384615384615385,0.03,50,0.02,48,2,a,put
0.21186628913879393,700,0.0014285714285714286,0.03,50,0.02,48,2,a,put
0.2706661415100098,750,0.0013333333333333333,0.03,50,0.02,48,2,a,put
0.3721727449893951,800,0.00125,0.03,50,0.02,48,2,a,put
0.33085997581481935,850,0.001176470588235294,0.03,50,0.02,48,2,a,put
0.3607724649906158,900,0.0011111111111111111,0.03,50,0.02,48,2,a,put
0.5211381618976593,950,0.0010526315789473684,0.03,50,0.02,48,2,a,put
9.999513626098633e-06,1,1.0,0.03,50,0.02,48,2,e,call
1.2168407440185546e-05,3,0.3333333333333333,0.03,50,0.02,48,2,e,call
2.0142078399658203e-05,5,0.2,0.03,50,0.02,48,2,e,call
2.3285627365112305e-05,7,0.14285714285714285,0.03,50,0.02,48,2,e,call
3.2369375228881835e-05,9,0.1111111111111111,0.03,50,0.02,48,2,e,call
4.372835159301758e-05,11,0.09090909090909091,0.03,50,0.02,48,2,e,call
5.6482553482055664e-05,13,0.07692307692307693,0.03,50,0.02,48,2,e,call
7.229828834533691e-05,15,0.06666666666666667,0.03,50,0.02,48,2,e,call
7.800936698913574e-05,17,0.058823529411764705,0.03,50,0.02,48,2,e,call
9.490561485290527e-05,19,0.05263157894736842,0.03,50,0.02,48,2,e,call
0.00011308026313781738,21,0.047619047619047616,0.03,50,0.02,48,2,e,call
0.0001350240707397461,23,0.043478260869565216,0.03,50,0.02,48,2,e,call
0.00016620445251464843,25,0.04,0.03,50,0.02,48,2,e,call
0.00022869443893432619,27,0.037037037037037035,0.03,50,0.02,48,2,e,call
0.00022121024131774902,29,0.034482758620689655,0.03,50,0.02,48,2,e,call
0.00023668432235717773,31,0.03225806451612903,0.03,50,0.02,48,2,e,call
0.00025433421134948733,33,0.030303030303030304,0.03,50,0.02,48,2,e,call
0.00028430461883544923,35,0.02857142857142857,0.03,50,0.02,48,2,e,call
0.0003095724582672119,37,0.02702702702702703,0.03,50,0.02,48,2,e,call
0.00035610055923461915,39,0.02564102564102564,0.03,50,0.02,48,2,e,call
0.0003923466205596924,41,0.024390243902439025,0.03,50,0.02,48,2,e,call
0.0004988591670989991,43,0.023255813953488372,0.03,50,0.02,48,2,e,call
0.0004830741882324219,45,0.022222222222222223,0.03,50,0.02,48,2,e,call
0.000513563871383667,47,0.02127659574468085,0.03,50,0.02,48,2,e,call
0.0005480761528015136,49,0.02040816326530612,0.03,50,0.02,48,2,e,call
0.0005821535587310791,51,0.0196078431372549,0.03,50,0.02,48,2,e,call
0.0006502175331115723,53,0.018867924528301886,0.03,50,0.02,48,2,e,call
0.0007006797790527344,55,0.01818181818181818,0.03,50,0.02,48,2,e,call
0.0007559814453125,57,0.017543859649122806,0.03,50,0.02,48,2,e,call
0.0009690752029418945,59,0.01694915254237288,0.03,50,0.02,48,2,e,call
0.0009932055473327636,61,0.01639344262295082,0.03,50,0.02,48,2,e,call
0.0010645821094512938,63,0.015873015873015872,0.03,50,0.02,48,2,e,call
0.0011950254440307618,65,0.015384615384615385,0.03,50,0.02,48,2,e,call
0.0011331665515899659,67,0.014925373134328358,0.03,50,0.02,48,2,e,call
0.0013460202217102052,69,0.014492753623188406,0.03,50,0.02,48,2,e,call
0.0013989236354827882,71,0.014084507042253521,0.03,50,0.02,48,2,e,call
0.0015671477317810059,73,0.0136986301369863,0.03,50,0.02,48,2,e,call
0.0015318219661712646,75,0.013333333333333334,0.03,50,0.02,48,2,e,call
0.0015880105495452881,77,0.012987012987012988,0.03,50,0.02,48,2,e,call
0.0015056021213531495,79,0.012658227848101266,0.03,50,0.02,48,2,e,call
0.0015915307998657226,81,0.012345679012345678,0.03,50,0.02,48,2,e,call
0.0017072699069976807,83,0.012048192771084338,0.03,50,0.02,48,2,e,call
0.0017498764991760254,85,0.011764705882352941,0.03,50,0.02,48,2,e,call
0.0017009735107421874,87,0.011494252873563218,0.03,50,0.02,48,2,e,call
0.0018040547370910644,89,0.011235955056179775,0.03,50,0.02,48,2,e,call
0.0018425238132476806,91,0.01098901098901099,0.03,50,0.02,48,2,e,call
0.001975379467010498,93,0.010752688172043012,0.03,50,0.02,48,2,e,call
0.0020519347190856934,95,0.010526315789473684,0.03,50,0.02,48,2,e,call
0.002079449653625488,97,0.010309278350515464,0.03,50,0.02,48,2,e,call
0.0022055857181549074,99,0.010101010101010102,0.03,50,0.02,48,2,e,call
0.0023780162334442138,100,0.01,0.03,50,0.02,48,2,e,call
0.0037663002014160156,110,0.00909090909090909,0.03,50,0.02,48,2,e,call
0.00401391077041626,120,0.008333333333333333,0.03,50,0.02,48,2,e,call
0.0042955467700958256,130,0.007692307692307693,0.03,50,0.02,48,2,e,call
0.004362096071243286,140,0.007142857142857143,0.03,50,0.02,48,2,e,call
0.005704845666885376,150,0.006666666666666667,0.03,50,0.02,48,2,e,call
0.0068044753074646,160,0.00625,0.03,50,0.02,48,2,e,call
0.009380188226699828,170,0.0058823529411764705,0.03,50,0.02,48,2,e,call
0.010404047250747681,180,0.005555555555555556,0.03,50,0.02,48,2,e,call
0.013376255750656128,190,0.005263157894736842,0.03,50,0.02,48,2,e,call
0.014213914871215821,200,0.005,0.03,50,0.02,48,2,e,call
0.01636618232727051,210,0.004761904761904762,0.03,50,0.02,48,2,e,call
0.01927998113632202,220,0.004545454545454545,0.03,50,0.02,48,2,e,call
